cluser_0,cluser_0,105
cluser_0,cluser_1,111
cluser_0,cluser_2,36
cluser_0,cluser_3,92
cluser_0,cluser_4,73
cluser_0,cluser_5,75
cluser_0,cluser_6,159
cluser_1,cluser_0,70
cluser_1,cluser_1,55
cluser_1,cluser_2,28
cluser_1,cluser_3,45
cluser_1,cluser_4,33
cluser_1,cluser_5,43
cluser_1,cluser_6,108
cluser_2,cluser_0,22
cluser_2,cluser_1,36
cluser_2,cluser_2,4
cluser_2,cluser_3,39
cluser_2,cluser_4,15
cluser_2,cluser_5,13
cluser_2,cluser_6,36
cluser_3,cluser_0,163
cluser_3,cluser_1,98
cluser_3,cluser_2,53
cluser_3,cluser_3,132
cluser_3,cluser_4,72
cluser_3,cluser_5,64
cluser_3,cluser_6,277
cluser_4,cluser_0,46
cluser_4,cluser_1,49
cluser_4,cluser_2,9
cluser_4,cluser_3,39
cluser_4,cluser_4,18
cluser_4,cluser_5,31
cluser_4,cluser_6,54
cluser_5,cluser_0,91
cluser_5,cluser_1,55
cluser_5,cluser_2,24
cluser_5,cluser_3,56
cluser_5,cluser_4,55
cluser_5,cluser_5,82
cluser_5,cluser_6,156
cluser_6,cluser_0,182
cluser_6,cluser_1,111
cluser_6,cluser_2,58
cluser_6,cluser_3,180
cluser_6,cluser_4,73
cluser_6,cluser_5,144
cluser_6,cluser_6,205
