cluser_0,cluser_0,4
cluser_0,cluser_1,22
cluser_0,cluser_2,37
cluser_0,cluser_3,13
cluser_0,cluser_4,13
cluser_0,cluser_5,34
cluser_0,cluser_6,40
cluser_1,cluser_0,36
cluser_1,cluser_1,105
cluser_1,cluser_2,159
cluser_1,cluser_3,75
cluser_1,cluser_4,73
cluser_1,cluser_5,111
cluser_1,cluser_6,92
cluser_2,cluser_0,58
cluser_2,cluser_1,182
cluser_2,cluser_2,206
cluser_2,cluser_3,144
cluser_2,cluser_4,72
cluser_2,cluser_5,112
cluser_2,cluser_6,181
cluser_3,cluser_0,24
cluser_3,cluser_1,91
cluser_3,cluser_2,154
cluser_3,cluser_3,82
cluser_3,cluser_4,55
cluser_3,cluser_5,55
cluser_3,cluser_6,56
cluser_4,cluser_0,9
cluser_4,cluser_1,46
cluser_4,cluser_2,55
cluser_4,cluser_3,31
cluser_4,cluser_4,20
cluser_4,cluser_5,50
cluser_4,cluser_6,38
cluser_5,cluser_0,26
cluser_5,cluser_1,70
cluser_5,cluser_2,108
cluser_5,cluser_3,43
cluser_5,cluser_4,35
cluser_5,cluser_5,55
cluser_5,cluser_6,44
cluser_6,cluser_0,53
cluser_6,cluser_1,163
cluser_6,cluser_2,278
cluser_6,cluser_3,64
cluser_6,cluser_4,71
cluser_6,cluser_5,98
cluser_6,cluser_6,132
