"street","state","city","county","country","postal_code","neighborhood","sublocality","housenumber","postal_town","subpremise","latitude","longitude","location_type","postal_code_suffix","street_number","address"
"","Wisconsin","Milwaukee","Milwaukee County","United States","","","","","","","43.0389025","-87.9064736","APPROXIMATE","","","USR Surplus Dock"
"East Kenilworth Place","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.05904839999999","-87.8859985","ROOFTOP","1121","1915","Kenilworth"
"North Oakland Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Cambridge Woods","","","","","43.071279","-87.888097","ROOFTOP","","2907","Blaze Pizza"
"West Wisconsin Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53233","Avenues West","","","","","43.038863","-87.938733","ROOFTOP","2098","2040","Sal's Pizza"
"East North Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.0599374","-87.884303","ROOFTOP","","2035","Ian's"
"North Prospect Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.0590577","-87.8849585","ROOFTOP","","2211","Collectivo - Prospect"
"","Wisconsin","Milwaukee","Milwaukee County","United States","","","","","","","43.0389025","-87.9064736","APPROXIMATE","","","Fresh Fin"
"North Cramer Street","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0759943","-87.8859982","ROOFTOP","","3200","EMS Cramer"
"East Capitol Drive","Wisconsin","Milwaukee","Milwaukee County","United States","53212","Riverwest","","","","","43.087997","-87.90240700000001","ROOFTOP","","709","Planet Fitness - Capitol"
"","Wisconsin","Milwaukee","Milwaukee County","United States","53211","","","","","","43.078263","-87.8819686","GEOMETRIC_CENTER","","","Union South"
"North Oakland Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Cambridge Woods","","","","","43.0777702","-87.8882464","ROOFTOP","","3301","7-Eleven - Oakland"
"North Downer Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0803017","-87.87960439999999","ROOFTOP","","3409","Klotsche"
"East Brady Street","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.052776","-87.894284","ROOFTOP","1612","1339","Club Brady"
"North Arlington Place","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.0530316","-87.89512739999999","ROOFTOP","","1701","Hi Hat"
"East Kenwood Boulevard","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.07527330000001","-87.8803897","ROOFTOP","","2200","Garage"
"East North Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.0599913","-87.89003489999999","ROOFTOP","","1609","7-Eleven - North"
"","Wisconsin","Milwaukee","Milwaukee County","United States","53211","","","","","","43.078263","-87.8819686","GEOMETRIC_CENTER","","","Up "
"North 5th Street","Wisconsin","Milwaukee","Milwaukee County","United States","53203","Westown","","","","","43.0352307","-87.91715889999999","ROOFTOP","","422","Stone Creek Coffee Shorewood"
"East Capitol Drive","Wisconsin","Milwaukee","Milwaukee County","United States","53212","Williamsburg Heights","","","","","43.0876197","-87.9061765","ROOFTOP","","401","Walmart"
"East Hartford Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0780042","-87.8797914","ROOFTOP","","2400","Enderis"
"East Kenwood Boulevard","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0762464","-87.88024430000002","ROOFTOP","","2400","Music Building Parking"
"East Brady Street","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.0530799","-87.8997799","ROOFTOP","","932","Thainamite"
"North Prospect Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Murray Hill","","","","","43.0604306","-87.883781","ROOFTOP","","2305","Whole Foods"
"East Lyon Street","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.0490284","-87.9040067","ROOFTOP","","605","Pick n Save"
"East Kenwood Boulevard","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0752308","-87.881425","ROOFTOP","","2200","Union North"
"North Oakland Avenue","Wisconsin","Shorewood","Milwaukee County","United States","53211","","","","","","43.0826122","-87.88726849999999","ROOFTOP","","3524","William Ho's"
"South 27th Street","Wisconsin","Milwaukee","Milwaukee County","United States","53221","Southpoint","","","","","42.9786515","-87.9472466","ROOFTOP","","3632","Jimmy Johns - Brady"
"East Cherokee Avenue","Oklahoma","Nowata","Nowata County","United States","74048","","","","","","36.7001081","-95.6379678","ROOFTOP","","104","Beans & Barley"
"North Lake Drive","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.07715880000001","-87.873053","ROOFTOP","","3271","Hefter Center"
"North Farwell Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.054621","-87.890963","ROOFTOP","","1827","Pizza Shuttle"
"East Brady Street","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.05280920000001","-87.89380419999999","ROOFTOP","1614","1401","Nomad"
"South Cesar E Chavez Drive","Wisconsin","Milwaukee","Milwaukee County","United States","53204","Clarke Square","","","","","43.0204214","-87.93341029999999","ROOFTOP","","1035","Jalisco's"
"","","","","","","","","","","","","","","","","WalgreensÛÒOakland"
"North Farwell Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.059687","-87.88564099999999","ROOFTOP","","2220","Landmark Lanes"
"East Brady Street","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.053175","-87.902409","ROOFTOP","","728","Casablanca"
"","Wisconsin","Milwaukee","Milwaukee County","United States","53211","","","","","","43.078263","-87.8819686","GEOMETRIC_CENTER","","","1695 N Cass St, Milwaukee, WI 53202, USA"
"","Wisconsin","Milwaukee","Milwaukee County","United States","53212","Hillside","","","","","43.0552033","-87.9189842","GEOMETRIC_CENTER","","","Lapham"
"East Newport Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0789803","-87.88482069999999","ROOFTOP","","2025","NWQ"
"West Arch Court","Wisconsin","Milwaukee","Milwaukee County","United States","53224","","","","","","43.1669496","-88.04718659999999","GEOMETRIC_CENTER","","","Arch Court"
"East Hartford Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","Merrill Hall","43.07836959999999","-87.8785429","ROOFTOP","","2512","Merrill Hall"
"","","","","","","","","","","","","","","","","CVSÛÒBrady"
"","","","","","","","","","","","","","","","","WalgreensÛÒBrady"
"East Capitol Drive","Wisconsin","Shorewood","Milwaukee County","United States","53211","","","","","","43.08886529999999","-87.89470639999999","ROOFTOP","","1305","Corner Bakery"
"North Oakland Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Cambridge Woods","","","","","43.0753936","-87.8880629","ROOFTOP","","3129","Jimmy Johns - Oakland"
"","","","","","","","","","","","","","","","","BelAirÛÒDowner"
"North Teutonia Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53209","Old North Milwaukee","","","","","43.1115486","-87.9505332","ROOFTOP","","5191","McDonald's - North"
"East Capitol Drive","Wisconsin","Milwaukee","Milwaukee County","United States","53212","Williamsburg Heights","","","","","43.0888121","-87.9089016","ROOFTOP","","225","Aldi"
"North Maryland Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0754651","-87.88389409999999","ROOFTOP","","3135","Physics Kenwood"
"North Downer Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0786469","-87.8795528","ROOFTOP","","3351","Norris Health Center"
"East Brady Street","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.0531687","-87.8943681","ROOFTOP","","1320","Frozone"
"East Brady Street","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.052831","-87.895799","ROOFTOP","1602","1233","Cousin's - Brady"
"North Oakland Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","","","","","","43.093328","-87.887202","ROOFTOP","","4170","Starbucks Shorewood"
"North Commerce Street","Wisconsin","Milwaukee","Milwaukee County","United States","53212","Brewer's Hill","","","","","43.0541826","-87.9056667","ROOFTOP","","1858","1858 N Commerce St"
"North Farwell Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.0561684","-87.8894953","ROOFTOP","1409","1947","Comet Cafe"
"North Frederick Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0787354","-87.8837889","ROOFTOP","2901","3400","Honor's College"
"North Oakland Avenue","Wisconsin","Shorewood","Milwaukee County","United States","53211","","","","","","43.0984067","-87.8871059","ROOFTOP","","4500","Colectivo - Shorewood"
"","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","Garland Hall","43.0770558","-87.8790209","ROOFTOP","","","Garland Hall"
"","","","","","","","","","","","","","","","","CVSÛÒDowner"
"North Downer Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Northpoint","","","","","43.0659346","-87.8782885","ROOFTOP","","2597","Pizza Man"
"","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Northpoint","","","","","43.0523441","-87.8911833","GEOMETRIC_CENTER","","","Brady and Prospect"
"East Wisconsin Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","East Town","","","","","43.0389333","-87.9075873","ROOFTOP","","312","FedEx"
"","Wisconsin","Milwaukee","Milwaukee County","United States","53211","","","","","","43.078263","-87.8819686","GEOMETRIC_CENTER","","","1320 WI-190, Shorewood, WI 53211, USA"
"North Farwell Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.0594679","-87.88590459999999","ROOFTOP","","2214","Ma Fischer's"
"East Hartford Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.07734629999999","-87.8842579","ROOFTOP","3154","2033","Englemann"
"North Cramer Street","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0759943","-87.8859982","ROOFTOP","","3200","EMS Parking"
