street,state,city,county,country,postal_code,neighborhood,sublocality,housenumber,postal_town,subpremise,latitude,longitude,location_type,postal_code_suffix,street_number,address
North Arlington Place,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0530316,-87.8951274,ROOFTOP,,1701,Hi Hat
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0530799,-87.8997799,ROOFTOP,,932,Thainamite
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0531687,-87.8943681,ROOFTOP,,1320,Frozone
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.053175,-87.902409,ROOFTOP,,728,Casablanca
North Commerce Street,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Brewer's Hill,,,,,43.0541826,-87.9056667,ROOFTOP,,1858,1858 N Commerce St
North Farwell Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.054621,-87.890963,ROOFTOP,,1827,Pizza Shuttle
North Commerce Street,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Brewer's Hill,,,,,43.0547262,-87.9052875,ROOFTOP,,1872,Lakefront Brewery
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0549488,-87.8916001,ROOFTOP,,1830,"1830 North Oakland Avenue, Milwaukee, Wisconsin 53202, United States"
North Farwell Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0561684,-87.8894953,ROOFTOP,1409,1947,Comet Cafe
East Kenilworth Place,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0590484,-87.8859985,ROOFTOP,1121,1915,Kenilworth
North Prospect Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0590577,-87.8849585,ROOFTOP,,2211,Collectivo - Prospect
East Kenilworth Place,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.059128,-87.886216,ROOFTOP,,1903,Toppers
North Farwell Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0594679,-87.8859046,ROOFTOP,,2214,Ma Fischer's
North Farwell Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0594862,-87.8862121,ROOFTOP,,2203,Yo Factory
North Farwell Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.059687,-87.885641,ROOFTOP,,2220,Landmark Lanes
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0597133,-87.8878271,ROOFTOP,,2232,Chubbys
North Farwell Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0599324,-87.8858835,ROOFTOP,,2235,Von Trier
East North Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0599374,-87.884303,ROOFTOP,,2035,Ian's
East North Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.059953,-87.884863,ROOFTOP,1127,2017,Hooligans
