Requested Pick Up Time,# of Pass-engers,Pick Up Location,Drop Off Location,Cancellation Time,Pickup Time,Drop Off Time,Wait Time (min),Passenger Canceled?,Cancellation Message
2/10/19 20:45,3,Klotsche,"3363 North Cramer Street, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:07,2/10/19 21:10,22,no,
2/10/19 20:45,1,"3107 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States","1915e East Kenilworth Place, Milwaukee, Wisconsin 53202, United States",,2/10/19 21:02,2/10/19 21:06,16,no,
2/10/19 20:46,4,Union South,"2866 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:01,2/10/19 21:05,15,no,
2/10/19 20:48,1,Music Building Parking,"2612 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:14,2/10/19 21:18,26,no,
2/10/19 20:48,1,"2931 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States","2621 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 20:49,,,,yes,H
2/10/19 20:50,1,KIRC Parking,"2233 North Summit Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 20:59,,,,yes,I've had a change in my plans
2/10/19 20:51,1,"2916 North Cramer Street, Milwaukee, Wisconsin 53211, United States",Sandburg,,2/10/19 21:04,2/10/19 21:10,13,no,
2/10/19 20:57,1,"3218 North Marietta Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,,2/10/19 21:08,2/10/19 21:10,10,no,
2/10/19 20:57,1,"3334 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","2933 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:13,2/10/19 21:16,16,no,
2/10/19 20:57,2,"Walgreens, 4035 N Oakland Ave, Milwaukee, Wisconsin 53211, United States","1428 East Capitol Drive, Milwaukee, Wisconsin",,2/10/19 21:24,2/10/19 21:26,27,no,
2/10/19 20:57,1,"2414 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","UWM Klotsche Center & Pavilion, 3409 N Downer Ave., Milwaukee, Wisconsin, United States, 53211",,2/10/19 21:11,2/10/19 21:17,13,no,
2/10/19 20:58,1,"3323 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,2/10/19 20:58,,,,yes,I've had a change in my plans
2/10/19 20:58,1,"3334 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","2857 North Downer Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:20,2/10/19 21:25,22,no,
2/10/19 20:58,1,"4540 North Wilson Drive, Milwaukee, Wisconsin 53211, United States",Union South,,2/10/19 21:29,2/10/19 21:38,31,no,
2/10/19 20:59,1,Union South,Kane and Arlington,,2/10/19 20:59,2/10/19 21:12,0,no,
2/10/19 21:00,1,"2612 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",Klotsche,2/10/19 21:00,,,,yes,It took too long to receive my ETA
2/10/19 21:01,1,"3869 North Humboldt Boulevard, Milwaukee, Wisconsin 53212, United States",USR Parking,,2/10/19 21:26,2/10/19 21:30,25,no,
2/10/19 21:01,1,Metro Market Shorewood,Sandburg,2/10/19 21:02,,,,yes,I've had a change in my plans
2/10/19 21:01,1,Union South,"2233 North Summit Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:03,2/10/19 21:17,1,no,
2/10/19 21:07,1,Union North,"2576 North Stowell Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:11,2/10/19 21:15,4,no,
2/10/19 21:08,1,Noodles & Company,Cambridge Commons,2/10/19 21:08,,,,yes,I'm not ready to go
2/10/19 21:08,2,"3101 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States",Cambridge Commons,,2/10/19 21:14,2/10/19 21:28,5,no,
2/10/19 21:11,1,"3403 North Dousman Street, Milwaukee, Wisconsin 53212, United States",CVSâ€“Brady,2/10/19 21:13,,,,yes,I've had a change in my plans
2/10/19 21:11,1,Library,"3114 North Bartlett Avenue, Milwaukee, Wisconsin",,2/10/19 21:20,2/10/19 21:23,9,no,
2/10/19 21:12,1,"2976 N Cambridge Ave, Milwaukee, WI 53211, USA","2640 North Stowell Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:16,2/10/19 21:25,4,no,
2/10/19 21:13,2,"2835 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,,2/10/19 21:28,2/10/19 21:32,15,no,
2/10/19 21:15,1,Noodles & Company,Cambridge Commons,,2/10/19 21:20,2/10/19 21:28,5,no,
2/10/19 21:15,1,Fresh Fin,"2735 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:28,2/10/19 21:32,12,no,
2/10/19 21:17,1,Starbucks - Downer,Cambridge Commons,2/10/19 21:17,,,,yes,I'm not ready to go
2/10/19 21:17,1,"2612 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",Klotsche,,2/10/19 21:19,2/10/19 21:23,1,no,
2/10/19 21:17,1,"3495 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",EMS Parking,2/10/19 21:29,,,,yes,It took too long to receive my ETA
2/10/19 21:17,1,Library,"2843 North Cramer Street, Milwaukee, Wisconsin 53211, United States",2/10/19 21:23,,,,yes,It took too long to receive my ETA
2/10/19 21:19,1,"3025 N Humboldt Boulevard, Milwaukee, Wisconsin 53212, United States",Sandburg,,2/10/19 21:42,2/10/19 21:49,22,no,
2/10/19 21:19,1,"2944 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States","3463 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:47,2/10/19 21:54,27,no,
