ID,Stop_0,Cnt_0,Stop_1,Cnt_1 
109626,Sandburg Residence Hall (Sand),29,Kenilworth Square Apartments (KNW),68 
89544,Sandburg Residence Hall (Sand),6,Capitol and Humboldt Park and Ride (C/H),9 
84772,UWM Union (Union),3,Capitol and Humboldt Park and Ride (C/H),5 
75497,Sandburg Residence Hall (Sand),6,Capitol and Humboldt Park and Ride (C/H),11 
102471,UWM Golda Meir Library (Lib),81,Cambridge Commons (CC-S),82 
73998,UWM Golda Meir Library (Lib),6,Kenilworth Square Apartments (KNW),31 
81492,UWM Union (Union),7,Capitol and Humboldt Park and Ride (C/H),19 
98351,Non-Peak Hours UWM KIRC (KIRC-S),2,Capitol and Humboldt Park and Ride (C/H),6 
104309,UWM Union (Union),19,Capitol and Humboldt Park and Ride (C/H),19 
67099,UWM Union (Union),16,Capitol and Humboldt Park and Ride (C/H),11 
104642,Sandburg Residence Hall (Sand),11,Capitol and Humboldt Park and Ride (C/H),16 
109325,UWM Union (Union),10,Capitol and Humboldt Park and Ride (C/H),10 
107598,UWM Union (Union),31,Capitol and Humboldt Park and Ride (C/H),36 
93100,Sandburg Residence Hall (Sand),3,RiverView Residence Hall (RVW),5 
104860,Sandburg Residence Hall (Sand),29,RiverView Residence Hall (RVW),22 
88526,UWM Union (Union),8,Capitol and Humboldt Park and Ride (C/H),11 
97642,Sandburg Residence Hall (Sand),5,Kenilworth Square Apartments (KNW),8 
101206,UWM Golda Meir Library (Lib),13,Kenilworth Square Apartments (KNW),16 
84831,UWM Golda Meir Library (Lib),19,Kenilworth Square Apartments (KNW),21 
99625,UWM Golda Meir Library (Lib),29,Cambridge Commons (CC-S),55 
72850,Sandburg Residence Hall (Sand),15,Capitol and Humboldt Park and Ride (C/H),22 
80070,UWM Union (Union),8,Capitol and Humboldt Park and Ride (C/H),14 
76290,UWM Union (Union),13,Capitol and Humboldt Park and Ride (C/H),8 
104182,Sandburg Residence Hall (Sand),25,Cambridge Commons (CC-S),39 
102493,Sandburg Residence Hall (Sand),8,Kenilworth Square Apartments (KNW),74 
66254,UWM Golda Meir Library (Lib),24,Kenilworth Square Apartments (KNW),22 
75273,UWM Union (Union),22,Capitol and Humboldt Park and Ride (C/H),20 
102496,Sandburg Residence Hall (Sand),5,Kenilworth Square Apartments (KNW),50 
105348,Sandburg Residence Hall (Sand),12,Kenilworth Square Apartments (KNW),68 
105347,Non-Peak Hours UWM KIRC (KIRC-S),5,Kenilworth Square Apartments (KNW),54 
105349,Non-Peak Hours UWM KIRC (KIRC-S),2,Kenilworth Square Apartments (KNW),60 
102497,Non-Peak Hours UWM KIRC (KIRC-S),4,Kenilworth Square Apartments (KNW),48 
99538,UWM Golda Meir Library (Lib),4,Cambridge Commons (CC-S),2 
80398,UWM Union (Union),36,Capitol and Humboldt Park and Ride (C/H),27 
109536,UWM Golda Meir Library (Lib),22,RiverView Residence Hall (RVW),17 
103377,Sandburg Residence Hall (Sand),19,Cambridge Commons (CC-S),29 
103248,Sandburg Residence Hall (Sand),17,Capitol and Humboldt Park and Ride (C/H),20 
100946,Sandburg Residence Hall (Sand),14,RiverView Residence Hall (RVW),24 
98296,Sandburg Residence Hall (Sand),5,Cambridge Commons (CC-S),3 
104357,Sandburg Residence Hall (Sand),34,Capitol and Humboldt Park and Ride (C/H),35 
101125,Sandburg Residence Hall (Sand),5,Cambridge Commons (CC-S),4 
109403,Sandburg Residence Hall (Sand),19,Cambridge Commons (CC-S),16 
98184,UWM Golda Meir Library (Lib),5,Cambridge Commons (CC-S),5 
67463,UWM Union (Union),4,Capitol and Humboldt Park and Ride (C/H),4 
109929,UWM Golda Meir Library (Lib),3,Kenilworth Square Apartments (KNW),2 
94136,UWM Golda Meir Library (Lib),17,Kenilworth Square Apartments (KNW),7 
103945,Sandburg Residence Hall (Sand),3,Kenilworth Square Apartments (KNW),2 
72451,UWM Union (Union),6,Capitol and Humboldt Park and Ride (C/H),4 
103529,Sandburg Residence Hall (Sand),3,Cambridge Commons (CC-S),3 
85803,Cunningham Hall (Cunn),13,Cambridge Commons (CC-S),9 
103497,UWM Golda Meir Library (Lib),5,Kenilworth Square Apartments (KNW),5 
109674,UWM Golda Meir Library (Lib),17,Kenilworth Square Apartments (KNW),9 
108177,Sandburg Residence Hall (Sand),1,Cambridge Commons (CC-S),3 
109455,UWM Golda Meir Library (Lib),10,Cambridge Commons (CC-S),17 
105344,UWM Union (Union),4,Capitol and Humboldt Park and Ride (C/H),4 
83182,UWM Golda Meir Library (Lib),21,Kenilworth Square Apartments (KNW),35 
83852,UWM Union (Union),3,Capitol and Humboldt Park and Ride (C/H),2 
82407,Sandburg Residence Hall (Sand),15,Capitol and Humboldt Park and Ride (C/H),12 
108943,UWM Union (Union),12,Capitol and Humboldt Park and Ride (C/H),17 
72929,UWM Union (Union),3,Capitol and Humboldt Park and Ride (C/H),4 
81046,Cunningham Hall (Cunn),13,Cambridge Commons (CC-S),11 
105420,UWM Union (Union),6,Capitol and Humboldt Park and Ride (C/H),13 
90097,UWM Union (Union),20,Capitol and Humboldt Park and Ride (C/H),10 
80305,UWM Union (Union),3,Capitol and Humboldt Park and Ride (C/H),4 
97483,UWM Union (Union),5,Capitol and Humboldt Park and Ride (C/H),11 
92105,Sandburg Residence Hall (Sand),8,Capitol and Humboldt Park and Ride (C/H),17 
105341,Sandburg Residence Hall (Sand),4,Capitol and Humboldt Park and Ride (C/H),8 
105266,UWM Golda Meir Library (Lib),26,Cambridge Commons (CC-S),39 
69209,Sandburg Residence Hall (Sand),4,Capitol and Humboldt Park and Ride (C/H),4 
73592,Sandburg Residence Hall (Sand),3,Capitol and Humboldt Park and Ride (C/H),3 
98683,UWM Union (Union),29,Capitol and Humboldt Park and Ride (C/H),30 
86852,UWM Union (Union),30,Capitol and Humboldt Park and Ride (C/H),24 
69508,UWM Union (Union),14,Capitol and Humboldt Park and Ride (C/H),17 
76988,Sandburg Residence Hall (Sand),8,Capitol and Humboldt Park and Ride (C/H),9 
102521,UWM Golda Meir Library (Lib),3,Kenilworth Square Apartments (KNW),46 
76376,Sandburg Residence Hall (Sand),3,Kenilworth Square Apartments (KNW),59 
80922,UWM Union (Union),8,Capitol and Humboldt Park and Ride (C/H),9 
108142,Sandburg Residence Hall (Sand),17,Capitol and Humboldt Park and Ride (C/H),15 
95129,UWM Union (Union),9,Capitol and Humboldt Park and Ride (C/H),9 
87615,Sandburg Residence Hall (Sand),10,Capitol and Humboldt Park and Ride (C/H),12 
104183,UWM Golda Meir Library (Lib),33,Cambridge Commons (CC-S),35 
96320,UWM Golda Meir Library (Lib),2,Cambridge Commons (CC-S),4 
87160,UWM Golda Meir Library (Lib),14,Kenilworth Square Apartments (KNW),10 
72828,UWM Golda Meir Library (Lib),64,Kenilworth Square Apartments (KNW),70 
100707,UWM Union (Union),10,Capitol and Humboldt Park and Ride (C/H),10 
85705,UWM Golda Meir Library (Lib),7,Kenilworth Square Apartments (KNW),9 
82385,UWM Golda Meir Library (Lib),5,Kenilworth Square Apartments (KNW),3 
99426,Sandburg Residence Hall (Sand),4,Cambridge Commons (CC-S),2 
87388,UWM Union (Union),9,Capitol and Humboldt Park and Ride (C/H),10 
69408,UWM Golda Meir Library (Lib),3,Kenilworth Square Apartments (KNW),4 
74726,Sandburg Residence Hall (Sand),3,Capitol and Humboldt Park and Ride (C/H),3 
86427,UWM Union (Union),15,Capitol and Humboldt Park and Ride (C/H),13 
72784,UWM Union (Union),26,Capitol and Humboldt Park and Ride (C/H),29 
104044,UWM Golda Meir Library (Lib),3,Cambridge Commons (CC-S),3 
103070,Cunningham Hall (Cunn),3,Kenilworth Square Apartments (KNW),7 
92862,Sandburg Residence Hall (Sand),7,Capitol and Humboldt Park and Ride (C/H),8 
102376,UWM Golda Meir Library (Lib),10,RiverView Residence Hall (RVW),8 
90034,Sandburg Residence Hall (Sand),7,Capitol and Humboldt Park and Ride (C/H),7 
94370,UWM Union (Union),12,Capitol and Humboldt Park and Ride (C/H),18 
102670,UWM Golda Meir Library (Lib),20,Kenilworth Square Apartments (KNW),21 
89595,UWM Golda Meir Library (Lib),5,Cambridge Commons (CC-S),9 
101500,Sandburg Residence Hall (Sand),8,Capitol and Humboldt Park and Ride (C/H),8 
88454,UWM Golda Meir Library (Lib),9,Cambridge Commons (CC-S),7 
104030,UWM Golda Meir Library (Lib),32,Cambridge Commons (CC-S),64 
91841,UWM Union (Union),4,Capitol and Humboldt Park and Ride (C/H),5 
104049,UWM Golda Meir Library (Lib),36,Cambridge Commons (CC-S),57 
97485,UWM Golda Meir Library (Lib),5,Cambridge Commons (CC-S),5 
103482,Non-Peak Hours UWM KIRC (KIRC-S),2,Cambridge Commons (CC-S),3 
103739,Sandburg Residence Hall (Sand),4,Kenilworth Square Apartments (KNW),1 
99232,Sandburg Residence Hall (Sand),6,RiverView Residence Hall (RVW),6 
100468,Sandburg Residence Hall (Sand),18,RiverView Residence Hall (RVW),19 
109631,Sandburg Residence Hall (Sand),13,Cambridge Commons (CC-S),12 
102463,UWM Golda Meir Library (Lib),21,RiverView Residence Hall (RVW),30 
69648,UWM Union (Union),6,Capitol and Humboldt Park and Ride (C/H),5 
85886,UWM Golda Meir Library (Lib),5,Kenilworth Square Apartments (KNW),5 
101310,UWM Golda Meir Library (Lib),6,Kenilworth Square Apartments (KNW),4 
109665,UWM Golda Meir Library (Lib),4,Kenilworth Square Apartments (KNW),4 
107908,Sandburg Residence Hall (Sand),28,Cambridge Commons (CC-S),33 
104732,UWM Golda Meir Library (Lib),2,Kenilworth Square Apartments (KNW),5 
100941,UWM Golda Meir Library (Lib),3,Kenilworth Square Apartments (KNW),3 
97786,Cunningham Hall (Cunn),22,Cambridge Commons (CC-S),43 
91083,UWM Union (Union),6,Capitol and Humboldt Park and Ride (C/H),11 
90129,Sandburg Residence Hall (Sand),4,Capitol and Humboldt Park and Ride (C/H),7 
100174,Sandburg Residence Hall (Sand),4,Cambridge Commons (CC-S),3 
102994,UWM Golda Meir Library (Lib),29,Cambridge Commons (CC-S),40 
106108,Sandburg Residence Hall (Sand),5,Cambridge Commons (CC-S),9 
74218,UWM Union (Union),24,Capitol and Humboldt Park and Ride (C/H),36 
73848,UWM Union (Union),9,Capitol and Humboldt Park and Ride (C/H),10 
104222,Sandburg Residence Hall (Sand),10,RiverView Residence Hall (RVW),6 
100970,UWM Golda Meir Library (Lib),11,RiverView Residence Hall (RVW),11 
97815,Sandburg Residence Hall (Sand),7,Cambridge Commons (CC-S),7 
103988,UWM Golda Meir Library (Lib),36,Cambridge Commons (CC-S),45 
98154,Sandburg Residence Hall (Sand),13,Kenilworth Square Apartments (KNW),13 
88675,Sandburg Residence Hall (Sand),4,Kenilworth Square Apartments (KNW),3 
99176,Sandburg Residence Hall (Sand),3,Kenilworth Square Apartments (KNW),2 
87626,UWM Union (Union),9,Capitol and Humboldt Park and Ride (C/H),6 
103128,Sandburg Residence Hall (Sand),25,Cambridge Commons (CC-S),20 
105381,Sandburg Residence Hall (Sand),6,Cambridge Commons (CC-S),4 
103157,Sandburg Residence Hall (Sand),11,Capitol and Humboldt Park and Ride (C/H),11 
104023,Sandburg Residence Hall (Sand),7,RiverView Residence Hall (RVW),32 
91883,UWM Union (Union),15,Capitol and Humboldt Park and Ride (C/H),9 
102234,UWM Golda Meir Library (Lib),18,RiverView Residence Hall (RVW),14 
103845,UWM Golda Meir Library (Lib),31,Cambridge Commons (CC-S),44 
103993,Sandburg Residence Hall (Sand),21,Cambridge Commons (CC-S),28 
103974,Sandburg Residence Hall (Sand),17,Capitol and Humboldt Park and Ride (C/H),30 
97887,UWM Golda Meir Library (Lib),2,Cambridge Commons (CC-S),3 
102388,UWM Golda Meir Library (Lib),1,Cambridge Commons (CC-S),4 
99648,UWM Golda Meir Library (Lib),3,Kenilworth Square Apartments (KNW),3 
103981,Sandburg Residence Hall (Sand),40,Cambridge Commons (CC-S),75 
101077,Sandburg Residence Hall (Sand),2,Cambridge Commons (CC-S),4 
76824,Cunningham Hall (Cunn),2,Kenilworth Square Apartments (KNW),34 
97790,Sandburg Residence Hall (Sand),11,Kenilworth Square Apartments (KNW),11 
97846,Sandburg Residence Hall (Sand),3,RiverView Residence Hall (RVW),3 
99612,Sandburg Residence Hall (Sand),5,RiverView Residence Hall (RVW),3 
99450,Non-Peak Hours UWM KIRC (KIRC-S),2,Kenilworth Square Apartments (KNW),12 
66869,Sandburg Residence Hall (Sand),5,Kenilworth Square Apartments (KNW),8 
97593,Sandburg Residence Hall (Sand),3,RiverView Residence Hall (RVW),6 
103811,UWM Golda Meir Library (Lib),10,Kenilworth Square Apartments (KNW),8 
103980,UWM Union (Union),28,Capitol and Humboldt Park and Ride (C/H),30 
105358,Sandburg Residence Hall (Sand),4,Kenilworth Square Apartments (KNW),9 
98516,UWM Golda Meir Library (Lib),5,Cambridge Commons (CC-S),6 
98412,UWM Golda Meir Library (Lib),42,Kenilworth Square Apartments (KNW),71 
109567,Sandburg Residence Hall (Sand),7,Kenilworth Square Apartments (KNW),14 
98386,Sandburg Residence Hall (Sand),2,Capitol and Humboldt Park and Ride (C/H),2 
